Player,Rate
Tua Tagovailoa*,199.4
Mac Jones*,197.6
Kyler Murray*,181.3
Justin Fields*,178.8
Sam Bradford*,175.6
Baker Mayfield*,175.4
Dwayne Haskins*,174
Joe Burrow*,172.4
Marcus Mariota*,171.8
Tim Tebow*,170.8
Kellen Moore*,169
Ryan Dinwiddie*,168.9
Sam Howell*,168.8
Kyle Trask*,168.5
Colt Brennan*,167.6
Bryce Petty*,166
Will Grier*,165.2
Alex Smith*,164.4
Trevor Lawrence*,164.3
Johnny Manziel*,164.1
Danny Wuerffel,163.6
Dustin Crum*,163.5
Jameis Winston*,163.3
Zach Wilson*,162.9
Logan Woodside*,162.9
Andrew Luck*,162.8
Ty Detmer,162.7
Jalen Hurts*,162.6
A.J. McCarron*,162.5
Omar Jacobs*,162.5
Matt Corral*,162.1
Steve Sarkisian,162
David Fales*,161.7
Malik Cunningham*,161.1
Brandon Doughty*,161
Case Keenum*,160.6
Matt Johnson*,160.4
Stefan Lefors*,159.8
Mason Rudolph*,159.7
Matt Leinart*,159.5
Seth Russell*,159.4
Robert Griffin III*,158.9
Aaron Murray*,158.6
Kedon Slovis*,158.2
Brian Brohm*,157.9
Chad Pennington*,157.6
Brandon Weeden*,157.6
Mitch Trubisky*,157.6
Deshaun Watson*,157.5
Joe Ganz*,157.4
Bruce Gradkowski*,157.4
Tanner Morgan*,157.3
Teddy Bridgewater*,157.2
Anthony Gordon*,157.1
Troy Smith*,157.1
Zach Terrell*,157.1
Billy Blanton,157.1
Riley Ferguson*,157.1
Jim McMahon,156.9
Jordan Ta'amu,156.8
Dillon Gabriel*,156.6
Cody Kessler*,156.4
Jake Fromm*,156.1
Connor Shaw*,155.9
Jake Waters*,155.6
Greg McElroy*,155.4
Tajh Boyd*,155.2
Donovan McNabb,155.1
Dan Persa*,155
Colt McCoy*,155
Kevin Hogan*,154.6
D'Eriq King*,154.5
John Dutton,154.4
Graham Harrell*,154.3
Tim Rattay,154.3
Darron Thomas*,154.1
Carson Wentz,153.9
Blake Bortles*,153.8
Grant Hedrick*,153.7
Sam Darnold*,153.7
Geno Smith*,153.5
Scott Tolzien*,153.2
Nic Shimonek*,153.2
Justin Herbert*,153.1
Daunte Culpepper,153.1
Vinny Testaverde,152.9
Derek Carr*,152.8
Josh Wallwork,152.7
Jason White*,152.7
Tyler Huntley*,152.6
Brady White*,152.5
J.T. Barrett*,152.3
McKenzie Milton*,152.3
Patrick Mahomes*,152
Brendon Kay*,151.9
Brock Purdy*,151.9
Kaleb Barker*,151.9
Jarrett Stidham*,151.4
Ben Roethlisberger*,151.3
Bryn Renner*,151.2
David Carr*,151.2
Chris Weinke,151.1
Max Hall*,151.1
Joe Germaine*,151
Chad Kelly*,150.9
Byron Leftwich*,150.9
Brett Hundley*,150.8
Chuck Long*,150.5
Jake Browning*,150.5
E.J. Manuel*,150.4
Ryan Mallett*,150.4
Aaron Rodgers*,150.3
Steve Young,149.8
Mike Glass III*,149.6
Paul Smith*,149.4
Robbie Bosco,149.4
Brett Rypien*,149.3
Koy Detmer,148.9
Chase Daniel*,148.9
Chuck Hartlieb*,148.9
Danny White,148.8
Nick Stevens*,148.7
Matt Barkley*,148.7
Mike Maxwell,148.5
Zach Mettenberger*,148.4
Trent Dilfer*,148.3
Jason Campbell*,148.2
Joe Hamilton,148.2
Elvis Grbac*,148.1
Brent Stockstill*,148.1
JaMarcus Russell*,147.9
Buck Pierce,147.9
DeShone Kizer*,147.7
Taylor Kelly*,147.7
Levi Lewis*,147.6
John Walsh,147.6
Cody Hodges*,147.6
Ken Dorsey*,147.4
Jack Abraham*,147.4
Pat White*,147.4
Russell Wilson*,147.2
Troy Aikman*,147.1
B.J. Symons*,147.1
Nate Davis*,147.1
Peyton Manning,147.1
Zac Thomas*,147
Ian Book*,147
Shaun Carney*,146.9
Cole McDonald*,146.8
Sean Clifford*,146.8
Rex Grossman*,146.7
Braxton Miller*,146.7
Zac Robinson*,146.6
Quinton Flowers*,146.5
Justice Hansen*,146.5
Nathan Rourke*,146.5
Brad Kaaya*,146.2
Kirk Cousins*,146.1
Dak Prescott*,146
Joe Southwick*,145.9
Taylor Lamb*,145.8
Rakeem Cato*,145.8
Jim Harbaugh*,145.6
Rob Johnson*,145.6
Chase Holbrook,145.6
Gunner Kiel*,145.5
Garrett Grayson*,145.3
Kevin Kolb*,145.1
Chandler Harnish*,145.1
Todd Collins*,145
Tyler Bray*,145
Jared Zabransky*,145
Sam Ehlinger*,145
Vince Young*,144.9
Seth Doege*,144.9
Terrance Broadway*,144.9
Nathan Peterman*,144.9
G.J. Kinne*,144.8
Ryan Higgins*,144.8
Ryan Colburn*,144.6
Shane Carden*,144.6
Terrelle Pryor*,144.6
Trace McSorley*,144.5
Greg Ward Jr.*,144.4
Casey Pachall*,144.3
Brian Johnson*,144.2
Bryant Moniz*,144.2
Philip Rivers*,144.2
Nick Arbuckle*,144.2
Zach Collaros*,144.1
Tim Gutierrez,144.1
Nick Florence*,144.1
Nate Sudfeld*,144.1
Jared Goff*,144
Tyler Wilson*,144
Todd Reesing*,144
Christian Chapman*,143.9
Shawn Moore,143.7
Andrew Ford,143.7
Jett Duffey*,143.6
George Godsey,143.6
Chris Reynolds*,143.4
Rudy Carpenter*,143.4
Andre Ware,143.4
Gifford Nielsen*,143.4
Feleipe Franks*,143.3
Keith Price*,143.2
Trevone Boykin*,143.2
Kenny Hill*,143.1
Shea Patterson*,143.1
Drew Plitt*,143
Mike White*,142.9
Lamar Jackson*,142.9
Dan Lefevour*,142.9
Moses Moreno,142.9
Terrance Owens*,142.9
Shane Buechele*,142.9
Luke Falk*,142.8
Bobby Hoying*,142.6
Ryan Schneider,142.6
Driphus Jackson*,142.5
Colin Kaepernick*,142.5
Marvin Graves,142.4
Chris Robison*,142.4
Marcus McMaryion*,142.2
Steve Walsh,142.2
Jordan Lynch*,142.1
Kyle Padron*,142
Thad Busby,141.9
Marquise Williams*,141.9
Doug Gaynor,141.8
Tyler Tettleton*,141.7
Tim Couch,141.7
Ricky Stanzi*,141.6
Austin Allen*,141.6
Gus Ragland*,141.6
Landry Jones*,141.5
Charlie Ward,141.4
Steve Stenstrom*,141.4
Tony Pike*,141.4
Ryan Leaf*,141.4
John Beck*,141.3
Herb Tyler,141.3
Colby Cameron*,141.3
Drew Hare*,141.1
Keith Smith,141.1
Danny Kanell,141.1
Dylan Thompson*,140.9
Marc Bulger*,140.9
Khalil Tate,140.9
,
