Rk,Player,TD
1,Case Keenum*,155
2,Kellen Moore*,142
3,Graham Harrell*,134
4,Colt Brennan*,131
,Rakeem Cato*,131
,Baker Mayfield*,131
7,Landry Jones*,123
8,Ty Detmer,121
,Aaron Murray*,121
10,Luke Falk*,119
11,Timmy Chang*,117
12,Matt Barkley*,116
13,Tim Rattay,115
14,Danny Wuerffel,114
15,Derek Carr*,113
16,Colt McCoy*,112
17,Brandon Doughty*,111
18,Russell Wilson*,109
19,Tajh Boyd*,107
,Chad Pennington*,107
21,Brent Stockstill*,106
22,Marcus Mariota*,105
23,J.T. Barrett*,104
24,Dan Lefevour*,102
25,Chase Daniel*,101
26,Chase Clement*,99
,Tim Hiller*,99
,Matt Leinart*,99
,Drew Lock*,99
30,Geno Smith*,98
31,Trevor Vittatoe*,97
32,Jared Goff*,96
,Zach Terrell*,96
34,Justin Herbert*,95
,Kliff Kingsbury*,95
,Brady Quinn*,95
,Philip Rivers*,95
38,Jake Browning*,94
,Sam Ehlinger*,94
,Max Hall*,94
41,Mason Fine*,93
,Patrick Mahomes*,93
,Logan Woodside*,93
44,Mason Rudolph*,92
,Keith Wenning*,92
,Brady White*,92
47,David Klingler,91
48,Drew Brees*,90
,Connor Halliday*,90
,Taylor Lamb*,90
,Trevor Lawrence*,90
,Ryan Lindley*,90
,Todd Reesing*,90
,Cooper Rush*,90
,Brett Rypien*,90
,Deshaun Watson*,90
57,Byron Leftwich*,89
,Peyton Manning,89
59,Sam Bradford*,88
,Cody Kessler*,88
,Chris Leak*,88
,Jordan Palmer*,88
,Tim Tebow*,88
64,Shane Buechele*,87
,Chad Henne*,87
,Troy Kopp,87
,Tim Lester,87
,Luke McCown,87
,Nick Mullens*,87
,Tua Tagovailoa*,87
71,Trevone Boykin*,86
,Shane Carden*,86
,Ken Dorsey*,86
74,Bruce Gradkowski*,85
,Chase Holbrook,85
,Kevin Kolb*,85
,Andrew Walter*,85
78,Dane Evans*,84
,Jim McMahon,84
,Dan Orlovsky*,84
,Paul Pinegar*,84
,Chris Redman,84
,Ben Roethlisberger*,84
84,Austin Davis*,83
,Justice Hansen*,83
,Sean Mannion*,83
,Paul Smith*,83
,Davis Webb*,83
89,Ryan Dinwiddie*,82
,Colin Kaepernick*,82
,Andrew Luck*,82
,Ryan Schneider,82
93,Kolton Browning*,81
,Rudy Carpenter*,81
,Will Grier*,81
,G.J. Kinne*,81
,Eli Manning*,81
,Corey Robinson*,81
,Jason White*,81
,Danny Wimprine*,81
101,Jalen Hurts*,80
102,Derek Anderson*,79
,John Beck*,79
,Taylor Kelly*,79
,Dan Marino*,79
,Chris Weinke,79
,Andre Woodson*,79
108,Joe Burrow*,78
,Jake Fromm*,78
,Robert Griffin III*,78
,Gino Guidugli*,78
,Bart Hendricks,78
,Jared Lorenzen,78
114,John Elway,77
,Rex Grossman*,77
,A.J. McCarron*,77
,Donovan McNabb,77
,Trace McSorley*,77
119,Alex Brink,76
,Joe Licata*,76
,Brett Smith*,76
,Rusty Smith,76
123,Casey Clausen*,75
,Kevin Hogan*,75
,Brett Hundley*,75
,Bryant Moniz*,75
,Keith Price*,75
,Andre Ware,75
,Brandon Weeden*,75
130,Alex Carder*,74
,Tim Couch,74
,Nate Davis*,74
,Nathan Enderle*,74
,Shane Matthews,74
,Dave Ragone*,74
,P.J. Walker*,74
,Mike White*,74
138,Zac Dysert*,73
,Ben Hicks*,73
,Matt Johnson*,73
,D'Eriq King*,73
,David Neill,73
,Gary Nova*,73
,T.J. Rubley,73
145,Erik Ainge*,72
,Ian Book*,72
,Teddy Bridgewater*,72
,Daunte Culpepper,72
,Glenn Foley,72
,David Greene*,72
,Shaun King*,72
,Chase Litton*,72
,McKenzie Milton*,72
,Carson Palmer*,72
,Patrick Ramsey*,72
,Steve Stenstrom*,72
,Adam Weber*,72
158,Brian Brohm*,71
,Connor Cook*,71
,Andy Dalton*,71
,Quinton Flowers*,71
,Elvis Grbac*,71
,Darrell Hackney*,71
,Mark Herrmann*,71
,Omar Jacobs*,71
,Kellen Mond*,71
,Brandon Silvers*,71
168,Riley Ferguson*,70
,Jason Gesser*,70
,Jacory Harris*,70
,Chuck Long*,70
,Cole McDonald*,70
,Ryan Nassib*,70
,John Navarre*,70
,Dak Prescott*,70
,Todd Santos,70
,Tyler Sheehan*,70
,Nick Stevens*,70
179,David Blough*,69
,Tyler Bray*,69
,Seth Doege*,69
,Tommy Hodson,69
,Lamar Jackson*,69
,Brad Kaaya*,69
,Ryan Mallett*,69
,Scott Mitchell,69
,Steve Ramsey,69
,Tyler Rogers*,69
,Zac Thomas*,69
,Kyle Trask*,69
191,Dominique Davis*,68
,Darian Durant*,68
,Chandler Harnish*,68
,Sam Howell*,68
,Cade McNown*,68
,Shea Patterson*,68
,Nathan Stanley*,68
198,Ryan Aplin*,67
,Tommy Armstrong Jr*,67
,Billy Blanton,67
,Stoney Case,67
,Justin Fields*,67
,Doug Flutie*,67
,Nick Foles*,67
,Jerrod Johnson*,67
,Thaddeus Lewis,67
,Drew Olson*,67
,Curtis Painter*,67
,Tyler Tettleton*,67
,Willie Tuitama*,67
,Eric Zeier,67
212,Robbie Bosco,66
,Kirk Cousins*,66
,David Fales*,66
,Kurt Kittner*,66
,Tyler Palko*,66
,Zac Robinson*,66
,Kevin Sweeney*,66
,Darron Thomas*,66
,John Walsh,66
221,Charlie Brewer*,65
,David Carr*,65
,Joe Hamilton,65
,Alex McGough*,65
,James Morgan*,65
,Ryan Radcliff*,65
,Jameis Winston*,65
228,Brandon Allen*,64
,Kyle Boller,64
,Jake Delhomme,64
,Charlie Frye,64
,Garrett Grayson*,64
,Kenny Hill*,64
,Jason Martin,64
,Jake Plummer,64
,Bryn Renner*,64
,Kyle Shurmur*,64
,Alex Van Pelt,64
239,Ryan Finley*,63
,Mike Glennon*,63
,Cody Hawkins*,63
,Johnny Manziel*,63
,Brian McClure,63
,Steven Montez*,63
,Kyle Orton*,63
,Terrance Owens*,63
,Chris Rix*,63
248,Doug Johnson,62
,Chuckie Keeton*,62
,Matt Linehan*,62
,Mike Maxwell,62
,Gardner Minshew*,62
,Danny O'Neil*,62
,Bryce Petty*,62
,Taylor Potts*,62
,Brock Purdy*,62
,Bo Wallace*,62
,,
